"nom";"debut";"fin";"niveau";"ressources";"secteurs"
"Archivage de l'annÈe";"15/5/2019";"20/6/2018";"2";"2";"Info, "
"Mise ‡ jour page Wikipedia anglais";"3/9/2018";"21/12/2018";"2";"2";"International, "
"Roadbooks et briefings en anglais";"11/4/2019";"23/4/2019";"2";"2";"International, "
"Contacter les Èquipes ÈtrangËres";"1/12/2018";"23/4/2019";"2";"2";"International, "
"Prospection entreprises internationales";"1/12/2018";"23/4/2019";"2";"2";"International, "
"CoopÈration avec le BdI";"3/9/2018";"23/4/2019";"2";"2";"International, "
"CoopÈration avec le rÈseau TIME";"3/9/2018";"30/9/2018";"2";"2";"International, "
"Accompagner les Èquipes ÈtrangËres et feedback";"24/4/2019";"28/4/2019";"2";"2";"International, "
"Entrainement avec les Èquipes mixtes inscrites (test matÈriel et cohÈsion)";"1/1/2019";"16/2/2019";"2";"2";"Iti, Ouvreurs, "
"Formation ouvreurs et balisage";"1/1/2019";"17/4/2019";"2";"2";"Iti, Ouvreurs, "
"NND";"1/3/2019";"2/3/2019";"2";"2";"Iti, MCDEIC, "
"Inventaire -1 F";"8/6/2017";"10/9/2018";"2";"2";"Iti, Log, Ouvreurs, SÈcu, "
" jours";"4/3/2019";"25/4/2019";"2";"2";"Iti, "
"Formation Respos Jour ‡ Carto (Raid)";"4/3/2019";"11/3/2019";"2";"2";"Iti, "
"Exploitation CRs SER";"4/11/2018";"15/11/2018";"2";"2";"Iti, "
"WER 3 GPA";"5/10/2018";"7/10/2018";"2";"2";"Iti, "
"Premier tracÈ du Raid pour la sÈcu";"5/11/2018";"22/12/2018";"2";"2";"Iti, "
"PrÈparation du WERA";"6/11/2018";"23/11/2018";"2";"2";"Iti, Log, "
"Devis actifuns";"6/11/2018";"25/11/2018";"2";"2";"Iti, POLIS, "
"Formation logiciel de timing/Carto";"6/11/2018";"10/2/2019";"2";"2";"Iti, "
"Timings et rÈsumÈs des journÈes";"6/11/2018";"4/3/2019";"2";"2";"Iti, "
"PrÈvoir le matÈriel ‡ acheter/louer/emprunter";"7/1/2019";"13/4/2019";"2";"2";"Iti, "
"Organisation WER1";"7/6/2018";"23/9/2018";"2";"2";"Iti, Log, Ouvreurs, "
"Organisation WER2";"7/6/2018";"30/9/2018";"2";"2";"Iti, Log, "
"Organisation WER3";"7/6/2018";"7/10/2018";"2";"2";"Iti, Log, Ouvreurs, "
"Choix du lieu";"8/10/2018";"15/10/2018";"2";"2";"Iti, Log, Ouvreurs, Ouvreurs, SÈcu, "
"Formation Openrunner du secteur/ Choix rÈflÈchi des itis ‡ tracer pour les GPAs";"9/10/2018";"26/10/2018";"2";"2";"Iti, "
"Signature contrats Prestataires";"9/12/2018";"23/4/2018";"2";"2";"Iti, "
"Nomination Respos Jour & Nuit";"11/1/2019";"4/3/2019";"2";"2";"Iti, Log, "
"Organisation SER";"12/10/2018";"26/10/2018";"2";"2";"Iti, Log, "
"PrÈparation de la soirÈe de lancement";"12/11/2018";"3/12/2018";"2";"2";"Iti, "
"Formation respos Night'N Day";"14/12/2018";"29/2/2019";"2";"2";"Iti, "
"Refonte du template WER";"15/6/2018";"1/9/2018";"2";"2";"Iti, "
"RÈalisation d'itis sur le lieux choisi";"15/10/2018";"28/10/2018";"2";"2";"Iti, "
"Organisation WERP";"19/2/2019";"15/4/2019";"2";"2";"Iti, Log, SÈcu, "
"V0 itis NND";"20/6/2018";"30/7/2018";"2";"2";"Iti, "
"Formation CR-Reco";"21/9/2018";"28/10/2018";"2";"2";"Iti, "
"WER 1 GPA";"21/9/2018";"23/9/2018";"2";"2";"Iti, "
"Exploitation des CRs des WERs";"23/9/2018";"26/10/2018";"2";"2";"Iti, "
"Raid";"24/4/2019";"28/4/2019";"2";"2";"Iti, "
"PrÈparation contrats actifuns";"25/11/2018";"10/2/2019";"2";"2";"Iti, "
"SER";"26/10/2018";"4/11/2018";"2";"2";"Iti, "
"Choix des lieux de WERs";"27/6/2018";"29/6/2018";"2";"2";"Iti, "
"WER 2 Vieux ";"28/9/2018";"30/9/2018";"2";"2";"Iti, "
"SÈlection des campings";"28/10/2018";"15/11/2018";"2";"2";"Iti, Log, "
"DÈfinir les spÈciales";"28/10/2018";"4/3/2018";"2";"2";"Iti, "
"Revoir l'itinÈraire / prÈvoir repÈrage handisportifs";"30/10/2018";"30/11/2018";"2";"2";"Iti, Ouvreurs, POLIS, "
"V1 iti NND ";"5/11/2017";"1/12/2018";"2";"2";"Iti, Ouvreurs, "
"Demarchage supermarchÈs Saclay";"2/9/2018";"10/9/2018";"2";"2";"Log, "
"RÈservation gÓte WER1";"15/6/2018";"30/7/2018";"2";"2";"Log, "
"Commande de nourriture WER1";"28/8/2018";"20/9/2018";"2";"2";"Log, "
"RÈservation gÓte WER2";"15/6/2018";"7/8/2018";"2";"2";"Log, "
"Commande de nourriture WER2";"7/9/2018";"28/9/2018";"2";"2";"Log, "
"RÈservation gÓte WER3";"15/6/2018";"15/8/2018";"2";"2";"Log, "
"Commande de nourriture WER3";"15/9/2018";"5/10/2018";"2";"2";"Log, "
"Liste des campings et des salles au sec";"15/6/2018";"6/10/2018";"2";"2";"Log, "
"Test matos";"1/9/2018";"1/4/2019";"2";"2";"Log, "
"Carnet de bord";"1/9/2018";"15/6/2019";"2";"2";"Log, "
"Liste des supermarchÈs Raid";"12/10/2018";"30/11/2018";"2";"2";"Log, "
"WERA : Devis camping";"6/11/2018";"24/11/2018";"2";"2";"Log, "
"WERA : Devis salles au sec";"6/11/2018";"24/11/2018";"2";"2";"Log, "
"Devis traiteur ";"6/11/2018";"21/12/2018";"2";"2";"Log, "
" respo camp";"6/11/2018";"22/2/2019";"2";"2";"Log, "
"Contrat D'Aucy";"15/11/2018";"15/3/2019";"2";"2";"Log, "
"RÈservations navettes";"15/11/2018";"31/3/2019";"2";"2";"Log, "
"Rachat matos";"1/12/2018";"31/1/2019";"2";"2";"Log, "
"Commande bouffe NND";"15/2/2019";"29/2/2019";"2";"2";"Log, "
"Contrats campings + salles au sec";"1/12/2018";"31/1/2019";"2";"2";"Log, "
" cam et camion frigo";"2/1/2019";"31/3/2019";"2";"2";"Log, "
"Commande bouffe Raid";"1/4/2019";"15/4/2019";"2";"2";"Log, "
"Finalisation recrutement et transport des kinÈs";"1/2/2019";"10/4/2019";"2";"2";"Log, "
"Formation Respos Raid";"10/3/2019";"10/4/2019";"2";"2";"Log, "
"Rendez-vous SupermarchÈ (WERP)";"16/3/2019";"19/3/2019";"2";"2";"Log, "
"Classeur Log";"20/3/2019";"7/4/2019";"2";"2";"Log, "
"DÈpÙt bouffe campings Raid";"18/4/2019";"23/4/2019";"2";"2";"Log, "
"Remerciements + lettres de recommandation";"3/5/2019";"30/5/2019";"2";"2";"Log, "
"Cloture du dossier Avis";"3/5/2019";"1/6/2019";"2";"2";"Log, "
"Rachat matos post-Raid";"3/5/2019";"15/6/2019";"2";"2";"Log, "
"Adapter les quantitÈs en fonction des fiches retour";"3/5/2019";"15/6/2019";"2";"2";"Log, "
"PrÈparation CDMGE (Logistique)";"1/5/2019";"5/6/2019";"2";"2";"Log, "
"PrÈparation de la SdL";"1/9/2018";"30/11/2018";"2";"2";"MCDEIC, "
"DÈfinition des objectifs et missions de la presse";"1/9/2018";"31/9/2018";"2";"2";"MCDEIC, "
"Plaquette et catalogue entreprises";"20/9/2018";"1/11/2018";"2";"2";"MCDEIC, "
"reprendre l'organisation des onglets du site interne";"1/9/2018";"1/10/2018";"2";"2";"MCDEIC, SecGen, "
"PrÈsentation des prestations mÈdias pour les entreprises";"3/9/2018";"29/10/2018";"2";"2";"MCDEIC, Media, POLIS, Prez, SecGen, Trez, "
"Choix dÈfinitif des diffÈrents projets ‡ rÈaliser - dÈv ÈvÈnementiel (Night N'Day)";"1/9/2018";"30/9/2018";"2";"2";"MCDEIC, POLIS, Prez, SecGen, Trez, "
"Recherche parrains et interviews (NND & Raid)";"1/10/2018";"25/3/2019";"2";"2";"MCDEIC, relation_presse, "
"GÈrer le sponsoring des activitÈs du NND";"1/10/2018";"1/2/2019";"2";"2";"MCDEIC, Trez, "
"Bandeaux facebook/lydia/?";"15/11/2018";"30/12/2018";"2";"2";"MCDEIC, "
"VÈrifier exigences du NND";"1/12/2018";"25/2/2019";"2";"2";"MCDEIC, POLIS, Prez, SecGen, Trez, "
"Choix dÈfinitif des entreprises - prestataires (Night N'Day)";"1/12/2018";"31/12/2018";"2";"2";"MCDEIC, POLIS, Prez, SecGen, Trez, "
"Choix dÈfinitif des projets - dÈv ÈvÈnementiel (RAID)";"1/1/2019";"13/1/2019";"2";"2";"MCDEIC, POLIS, Prez, SecGen, Trez, "
"QdS du Night N'Day";"1/2/2019";"14/2/2019";"2";"2";"MCDEIC, "
"Nomination Respos VIP";"1/2/2019";"4/3/2019";"2";"2";"MCDEIC, "
"Nomination Respos Jour";"11/1/2019";"14/3/2019";"2";"2";"MCDEIC, Prez, Trez, "
"VÈrifier exigences du Raid";"28/2/2019";"25/4/2019";"2";"2";"MCDEIC, POLIS, Prez, SecGen, SÈcu, Trez, "
"PrÈRaid + RAID";"20/4/2019";"29/4/2019";"2";"2";"MCDEIC, "
"RÈalisation film asso";"1/8/2018";"9/9/2018";"2";"2";"Media, "
"RÈalisation de contenu vidÈo pour les partenaires";"2/9/2018";"27/5/2019";"2";"2";"Media, "
"Relations avec Hyris et Pics";"3/9/2018";"1/6/2019";"2";"2";"Media, "
" WEN///)";"3/9/2018";"1/5/2018";"2";"2";"Media, "
"Finaliser l'animation du logo du Raid";"19/9/2018";"1/3/2019";"2";"2";"Media, "
"RÈalisations de vidÈos pour la SdL";"1/10/2018";"23/11/2018";"2";"2";"Media, "
"rÈalisation de vidÈo courtes pour les concurrentes";"1/11/2018";"1/2/2019";"2";"2";"Media, "
"RÈalisation du gÈnÈrique NND";"31/10/2018";"1/3/2019";"2";"2";"Media, "
"RÈalisation du gÈnÈrique Raid";"1/3/2018";"23/4/2019";"2";"2";"Media, "
"Participation aux repÈrages du RAID";"21/9/2018";"17/4/2019";"2";"2";"Ouvreurs, "
"DÈcider/PrÈparer des vidÈos rÈparation vÈlo pour les concurrents";"10/10/2018";"17/2/2019";"2";"2";"Ouvreurs, "
"Achat/CrÈation de kits de rÈparation pour les vÈlos";"15/10/2018";"26/10/2018";"2";"2";"Ouvreurs, "
"Retour RepÈrage v0 pour v1";"1/12/2018";"4/12/2018";"2";"2";"Ouvreurs, POLIS, "
"Choix des ouvreurs pour le NND";"1/12/2017";"31/1/2019";"2";"2";"Ouvreurs, POLIS, "
"Proposer des entrainements VTT/Trail pour les futurs ouvreurs";"1/12/2017";"17/4/2019";"2";"2";"Ouvreurs, "
"Organiser le trail de cohÈsion";"3/1/2019";"15/1/2019";"2";"2";"Ouvreurs, "
"Achat de balises + sacs de balisage";"3/12/2018";"28/2/2019";"2";"2";"Ouvreurs, "
"Choix des ouvreurs du RAID";"1/2/2018";"31/3/2019";"2";"2";"Ouvreurs, "
"GÈrer les ouvreurs sur le NND";"1/3/2019";"2/3/2019";"2";"2";"Ouvreurs, "
"Gestion des ouvreurs ";"17/4/2019";"21/4/2019";"2";"2";"Ouvreurs, "
"Gestion des VTTs";"17/4/2019";"21/4/2019";"2";"2";"Ouvreurs, "
"Gestion du balisage";"17/4/2019";"21/4/2019";"2";"2";"Ouvreurs, "
"RÈcupÈration des plannings des secteurs";"8/6/2018";"16/9/2018";"2";"2";"Planning, "
"Harmonisation des t‚ches du macroplanning";"17/9/2017";"30/9/2018";"2";"2";"Planning, "
"AmÈliorer l'intÈgration du planning sur le site interne";"1/11/2018";"31/12/2018";"2";"2";"Planning, "
"Prise en main d'Access";"1/11/2018";"31/12/2018";"2";"2";"Planning, "
" rÙles spÈcifiques de certains";"1/1/2019";"31/1/2019";"2";"2";"Planning, "
"Nomination aides-planning NND";"10/1/2019";"31/1/2019";"2";"2";"Planning, "
"Tableau des t‚ches des respos jour/nuit NND";"20/1/2019";"25/2/2019";"2";"2";"Planning, "
"PrÈparation planning du NND";"25/2/2019";"28/2/2019";"2";"2";"Planning, "
"Impression et distribution des plannings NND";"25/2/2019";"28/2/2019";"2";"2";"Planning, "
" rÙles spÈcifiques";"3/3/2019";"31/3/2019";"2";"2";"Planning, SecGen, "
"Nomination aides-planning Raid";"14/3/2019";"4/4/2019";"2";"2";"Planning, "
"PrÈparation planning prÈ-Raid";"13/4/2019";"23/4/2019";"2";"2";"Planning, "
"GÈrer les fiches planning du Raid";"23/4/2019";"28/4/2019";"2";"2";"Planning, "
"PrÈparation passation";"29/4/2019";"1/6/2019";"2";"2";"Planning, "
"Roadbook Night N'Day";"1/1/2019";"21/2/2019";"2";"2";"POLIS, Prez, "
" Cyclotrott";"1/8/2018";"30/11/2018";"2";"2";"POLIS, "
"Dossier prÈfectures: Relancer les mairies qui n'ont pas rÈpondu";"1/11/2018";"17/2/2019";"2";"2";"POLIS, SÈcu, "
"Prise de contact pour les 3 WERs";"3/9/2018";"29/10/2018";"2";"2";"POLIS, SecGen, "
"RepÈrages NND v0 Iti";"5/11/2018";"1/12/2019";"2";"2";"POLIS, "
"Nomination Respos Jour et Nuit";"11/1/2019";"4/3/2019";"2";"2";"POLIS, SecGen, "
"Formation Retape";"15/10/2018";"23/10/2018";"2";"2";"POLIS, "
"Mise ‡ jour des rËglements (Night N'Day et Raid)";"16/10/2018";"16/11/2018";"2";"2";"POLIS, Prez, SecGen, "
"1ers itis NND / RepÈrage";"5/11/2018";"1/3/2018";"2";"2";"POLIS, "
"JournÈe environnement";"19/2/2019";"14/4/2019";"2";"2";"Prez, "
"Recherche contacts presse";"1/9/2019";"30/9/2010";"2";"2";"relation_presse, "
"RÈdaction des communiquÈs de presse ";"1/9/2019";"30/9/2010";"2";"2";"relation_presse, "
"DÈfinition des objectifs et missions Presse";"1/9/2019";"30/9/2010";"2";"2";"relation_presse, "
"Choix des documents de prÈsentation de l'asso aux organismes de presse";"1/9/2019";"30/9/2010";"2";"2";"relation_presse, "
"Retape journalistes et organismes de presse";"1/9/2019";"30/9/2010";"2";"2";"relation_presse, "
"Contact autres associations ‡ ÈvÈnement sportif (recherche de rÈfÈrence)";"1/9/2019";"30/9/2010";"2";"2";"relation_presse, "
" Etudiant)";"1/9/2019";"30/9/2010";"2";"2";"relation_presse, "
"Article SdL";"1/12/2019";"30/12/2019";"2";"2";"relation_presse, "
"RÈdaction trame interviews";"1/12/2019";"30/12/2019";"2";"2";"relation_presse, "
"RÈdaction anticipÈe articles de presse NND";"1/1/2019";"30/1/2019";"2";"2";"relation_presse, "
"Tournage interviews NND";"1/1/2019";"30/1/2019";"2";"2";"relation_presse, "
"RÈdaction anticipÈe articles presse Raid";"1/3/2019";"30/3/2019";"2";"2";"relation_presse, "
"Tournage interviews Raid";"1/3/2019";"30/3/2019";"2";"2";"relation_presse, "
" choix des objectifs majeurs de líannÈe dans le secteur";"1/6/2018";"31/7/2018";"2";"2";"Sponsoring, "
"DÈfinition des offres†: Construction des paliers et des contreparties";"1/8/2018";"15/9/2018";"2";"2";"Sponsoring, "
"Formation initiale GDA prospection en tant que formÈs";"1/8/2018";"15/9/2018";"2";"2";"Sponsoring, "
"CrÈation des visuels (plaquette sponsors)";"10/9/2018";"30/9/2018";"2";"2";"Sponsoring, "
"RÈcupÈration des contacts des deuxiËmes annÈes du Raid";"15/9/2018";"30/9/2018";"2";"2";"Sponsoring, "
"RÈcupÈration des contacts des premiËres annÈes du Raid";"30/9/2018";"15/10/2018";"2";"2";"Sponsoring, "
"CrÈation díun carnet díadresses";"15/9/2018";"15/10/2018";"2";"2";"Sponsoring, "
"Identification des produits rÈgionaux potentiellement utiles pour le raid (retape locale raid) WER1";"21/9/2018";"23/9/2018";"2";"2";"Sponsoring, "
"Identification des produits rÈgionaux potentiellement utiles pour le raid (retape locale raid) WER2";"28/9/2018";"30/9/2018";"2";"2";"Sponsoring, "
"Identification des produits rÈgionaux potentiellement utiles pour le raid (retape locale raid) WER3";"5/10/2018";"7/10/2018";"2";"2";"Sponsoring, "
"Prospection des entreprises alimentaires et de matÈriel (retape globale)";"1/10/2018";"1/4/2019";"2";"2";"Sponsoring, "
" demande de rendez-vous (retape locale raid)";"18/10/2018";"28/10/2018";"2";"2";"Sponsoring, "
"Rendez-vous avec les contacts rÈgionaux (retape locale raid)";"29/10/2018";"2/11/2018";"2";"2";"Sponsoring, "
"Formation des GPAs du secteur ‡ la prospection";"15/10/2018";"15/11/2018";"2";"2";"Sponsoring, "
"Contact des entreprises alimentaires et de matÈriel en Ile de France (retape locale NND)";"15/11/2018";"28/2/2019";"2";"2";"Sponsoring, "
"Suivi des sponsors GPAs";"15/11/2018";"17/5/2019";"2";"2";"Sponsoring, "
" redÈfinition des objectifs (retapes locale et globale)";"7/1/2019";"11/1/2019";"2";"2";"Sponsoring, "
" rÈpartition des produits";"11/2/2019";"15/2/2019";"2";"2";"Sponsoring, "
"RÈpartition des produits alimentaires sponsoring NND";"11/2/2019";"15/2/2019";"2";"2";"Sponsoring, "
"RÈpartition des lots du NND";"15/2/2019";"28/2/2019";"2";"2";"Sponsoring, "
"Mise en place des contreparties sponsoring NND";"15/2/2019";"17/3/2019";"2";"2";"Sponsoring, "
"  vÈrification que les produits sont bien mis en avant et que les contreparties sont respectÈes";"1/3/2019";"28/4/2019";"2";"2";"Sponsoring, Sponsoring, "
"Communication avec les sponsors sur des retours produits du NND";"1/3/2019";"2/3/2019";"2";"2";"Sponsoring, "
"VÈrification que les sponsors sont satisfaits des contreparties";"3/3/2019";"11/5/2019";"2";"2";"Sponsoring, Sponsoring, "
" indentification díÈlÈments ‡ amÈliorer pour le raid";"11/3/2019";"15/3/2019";"2";"2";"Sponsoring, "
"Bilan de la retape alimentaire raid";"1/4/2019";"5/4/2019";"2";"2";"Sponsoring, "
"RÈpartition des produits alimentaires sponsoring raid";"1/4/2019";"5/4/2019";"2";"2";"Sponsoring, "
"Rendez-vous avec des sponsors locaux si nÈcessaire (retape locale raid)";"5/4/2019";"7/4/2019";"2";"2";"Sponsoring, "
"Rendez-vous avec des sponsors locaux et recherche de sponsors locaux de derniËre minute";"17/4/2019";"23/4/2019";"2";"2";"Sponsoring, "
"RÈpartition les lots du raid";"17/4/2019";"23/4/2019";"2";"2";"Sponsoring, "
"Mise en place des contreparties sponsoring raid";"8/4/2019";"11/5/2019";"2";"2";"Sponsoring, "
"Communication avec les sponsors sur des retours produits du raid";"24/4/2019";"28/4/2019";"2";"2";"Sponsoring, "
"Bilan du raid pour le secteur  Sponsoring";"13/5/2019";"17/5/2019";"2";"2";"Sponsoring, "
"RÈdaction du rapport de passation";"29/4/2019";"24/5/2019";"2";"2";"Sponsoring, "
"Livraison du rapport de passation";"27/5/2019";"7/6/2019";"2";"2";"Sponsoring, "
"Formation initiale GDA prospection en tant que formateur";"1/6/2019";"30/6/2019";"2";"2";"Sponsoring, "
"Assurance";"1/8/2018";"30/5/2019";"2";"2";"SÈcu, "
"Assurance : Veille exigence lÈgale ";"1/8/2018";"30/5/2019";"2";"2";"SÈcu, "
"Assurance : Faire assurer les WERs";"1/8/2018";"10/10/2018";"2";"2";"SÈcu, "
"Assurance : Faire assurer la SER";"1/10/2018";"4/11/2018";"2";"2";"SÈcu, "
"Assurance : Faire assurer le NND";"1/11/2018";"2/3/2019";"2";"2";"SÈcu, "
"Assurance : Faire assurer le WERP et le RAID";"1/3/2019";"13/3/2019";"2";"2";"SÈcu, "
"Assurance : S'occuper d'Èventuels remboursements et assistances ‡ domicile";"1/4/2019";"30/5/2019";"2";"2";"SÈcu, "
"Assurance : Mettre ‡ jour la liste du matÈriel";"1/8/2018";"1/4/2019";"2";"2";"SÈcu, "
"Assistance mÈdicale";"1/8/2018";"15/11/2018";"2";"2";"SÈcu, "
"Assistance mÈdicale : Recherche de secouristes pros";"1/8/2018";"15/11/2018";"2";"2";"SÈcu, "
"Assistance mÈdicale : Recherche de devis pour support mÈdical";"1/8/2018";"17/11/2018";"2";"2";"SÈcu, "
"Assistance mÈdicale : Recherche de kinÈs et ostÈos";"1/12/2018";"17/1/2019";"2";"2";"SÈcu, "
" point buro)";"1/1/2019";"3/4/2019";"2";"2";"SÈcu, "
"Assistance mÈdicale : Finalisation recrutement et transport des kinÈs";"1/2/2019";"10/4/2019";"2";"2";"SÈcu, "
"Dossier prÈfectures";"1/9/2019";"10/4/2019";"2";"2";"SÈcu, "
"Dossier prÈfectures : Contacter les prÈfectures pour le NND pour s'informer sur les dossiers ‡ fournir";"1/9/2017";"15/10/2019";"2";"2";"SÈcu, "
"Dossier prÈfectures : Autorisations ONF pour le NND";"1/10/2018";"12/2/2019";"2";"2";"SÈcu, "
"Dossier prÈfectures : Contacter les prÈfectures pour le RAID pour s'informer sur les dossiers ‡ fournir";"1/11/2018";"1/1/2019";"2";"2";"SÈcu, "
"Dossier prÈfectures : RÈalisation du dossier pref du NND";"1/11/2018";"2/3/2019";"2";"2";"SÈcu, "
"Dossier prÈfectures : Envoi du dossier pref du NND";"10/11/2018";"15/10/2018";"2";"2";"SÈcu, "
"Dossier prÈfectures : Avoir un premier tracÈ du RAID par l'iti";"5/11/2018";"22/12/2018";"2";"2";"SÈcu, "
"Dossier prÈfectures : Autorisations ONF pour le RAID";"1/12/2018";"10/4/2019";"2";"2";"SÈcu, "
"Dossier prÈfectures : RÈalisation du dossier pref du RAID";"1/12/2018";"30/1/2019";"2";"2";"SÈcu, "
"Dossier prÈfectures : Envoi du dossier pref du RAID";"15/1/2019";"16/1/2019";"2";"2";"SÈcu, "
"Talkies";"17/9/2018";"11/2/2019";"2";"2";"SÈcu, "
"Talkies : Test des talkies pendant les WER";"17/9/2018";"15/10/2018";"2";"2";"SÈcu, "
"Talkies : Devis Talkies";"1/10/2018";"28/1/2019";"2";"2";"SÈcu, "
"Talkies : Finalisation et signature contrats talkies";"1/1/2019";"11/2/2019";"2";"2";"SÈcu, "
"DÈmarchage";"1/10/2018";"1/4/2019";"2";"2";"SÈcu, "
"DÈmarchage : Contacter Thomas Renais et rÈsever les WE SST";"1/10/2018";"1/2/2019";"2";"2";"SÈcu, "
"DÈmarchage : Contacter la DGSE et rÈserver les sessions formations extincteurs";"1/10/2018";"1/2/2019";"2";"2";"SÈcu, "
"DÈmarchage : Retape MÈdicale";"1/11/2018";"1/4/2019";"2";"2";"SÈcu, "
"VÈrification exigences NND";"1/12/2018";"25/2/2018";"2";"2";"SÈcu, "
"Mise ‡ jour des rèÈglements (Night N'Day et Raid)";"15/10/2018";"15/11/2018";"2";"2";"Trez, "
" plaquette dÈdiÈe";"15/10/2018";"1/12/2018";"2";"2";"Trez, "
"PrÈparation du QdS du Night N'Day";"1/2/2019";"14/2/2019";"2";"2";"Trez, "
"JournÈe environnement - RÈflÈchir aux actis ‡ faire sur la journÈe environnement/ A voir avec l'entreprise et le partenaire environnement/";"18/2/2019";"15/4/2019";"2";"2";"Trez, "
"QdS";"3/4/2019";"15/4/2019";"2";"2";"Trez, "
